Vessel Name,Port Call Type,Port Type,Port At Call,Ata/atd11,Time At Port,In Transit Port Calls,Vessel Type - Detailed,Commercial Market
PILOTBOAT WHITE,DEPARTURE,Port,LOS ANGELES,2021-11-16 01:13 UTC,33m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
NICHOLAS L,DEPARTURE,Port,LOS ANGELES,2021-11-16 00:43 UTC,2h 3m,Not in Transit,Other Special Craft,OTHER MARKETS
PILOTBOAT WHITE,DEPARTURE,Port,LOS ANGELES,2021-11-16 22:59 UTC,8h 18m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
DELTA TERESA,DEPARTURE,Port,LOS ANGELES,2021-11-16 22:55 UTC,6h 16m,Not in Transit,Other Special Craft,OTHER MARKETS
VICKI ANN,DEPARTURE,Port,LOS ANGELES,2021-11-16 16:46 UTC,12h 38m,Not in Transit,Other Special Craft,OTHER MARKETS
MASTER,DEPARTURE,Port,LOS ANGELES,2021-11-16 16:19 UTC,9h 39m,Not in Transit,Tug,SUPPORTING VESSELS
ROYAL MELBOURNE,DEPARTURE,Port,LOS ANGELES,2021-11-16 14:52 UTC,10h 3m,Not in Transit,Other Special Craft,OTHER MARKETS
DR HANK KAPLAN,DEPARTURE,Port,LOS ANGELES,2021-11-16 14:09 UTC,8h 7m,Not in Transit,Tug,SUPPORTING VESSELS
MAERSK GUAYAQUIL,DEPARTURE,Port,LOS ANGELES,2021-11-16 13:20 UTC,11h 53m,Not in Transit,Container Ship,CONTAINER SHIPS
PETER MAC,DEPARTURE,Port,LOS ANGELES,2021-11-16 13:19 UTC,12h 53m,Not in Transit,Crew Boat,SUPPORTING VESSELS
NICHOLAS L,DEPARTURE,Port,LOS ANGELES,2021-11-16 13:14 UTC,11h 2m,Not in Transit,Other Special Craft,OTHER MARKETS
PILOTBOAT WHITE,DEPARTURE,Port,LOS ANGELES,2021-11-16 12:23 UTC,5h 24m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
MILLENNIUM FALCON,DEPARTURE,Port,LOS ANGELES,2021-11-16 09:16 UTC,8h 14m,Not in Transit,Tug,SUPPORTING VESSELS
PILOTBOAT WHITE,DEPARTURE,Port,LOS ANGELES,2021-11-16 06:39 UTC,5h 19m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
MASTER,DEPARTURE,Port,LOS ANGELES,2021-11-16 04:23 UTC,13h 14m,Not in Transit,Tug,SUPPORTING VESSELS
DR HANK KAPLAN,DEPARTURE,Port,LOS ANGELES,2021-11-16 04:17 UTC,5h 6m,Not in Transit,Tug,SUPPORTING VESSELS
V.A.POINT VICENTE,DEPARTURE,Port,LOS ANGELES,2021-11-16 03:20 UTC,6h 50m,Not in Transit,Other Special Craft,OTHER MARKETS
LEADER,DEPARTURE,Port,LOS ANGELES,2021-11-16 01:19 UTC,11h 22m,Not in Transit,Tug,SUPPORTING VESSELS
MADELINE B HAMILTON,DEPARTURE,Port,LOS ANGELES,2021-11-16 00:59 UTC,13h 31m,Not in Transit,Other Special Craft,OTHER MARKETS
DELTA AUDREY,DEPARTURE,Port,LOS ANGELES,2021-11-16 23:01 UTC,1d 2h 41m,Not in Transit,Tug,SUPPORTING VESSELS
LEADER,DEPARTURE,Port,LOS ANGELES,2021-11-16 21:28 UTC,14h 49m,Not in Transit,Tug,SUPPORTING VESSELS
CHRISTY S,DEPARTURE,Port,LOS ANGELES,2021-11-16 21:10 UTC,22h ,Not in Transit,Other Passenger,PASSENGER SHIPS
J CREW,DEPARTURE,Port,LOS ANGELES,2021-11-16 21:05 UTC,1d 22h 45m,Not in Transit,Other Pleasure Craft,PLEASURE CRAFT
ANGELS NAVIGATOR,DEPARTURE,Port,LOS ANGELES,2021-11-16 19:41 UTC,22h 17m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
MONTE CARLO,DEPARTURE,Port,LOS ANGELES,2021-11-16 18:16 UTC,1d 17h 21m,Not in Transit,Other Fishing,FISHING
MISS CHRISTI,DEPARTURE,Port,LOS ANGELES,2021-11-16 16:15 UTC,15h 24m,Not in Transit,Other Special Craft,OTHER MARKETS
NANCY PETERKIN,DEPARTURE,Port,LOS ANGELES,2021-11-16 16:07 UTC,1d 4h 18m,Not in Transit,Tug,SUPPORTING VESSELS
