Vessel Name,Port Call Type,Port Type,Port At Call,Ata/atd11,Time At Port,In Transit Port Calls,Vessel Type - Detailed,Commercial Market
CMA CGM VIRGINIA,DEPARTURE,Port,LOS ANGELES,2021-11-17 13:05 UTC,2d 10h 25m,Not in Transit,Container Ship,CONTAINER SHIPS
EVER LOGIC,DEPARTURE,Port,LOS ANGELES,2021-11-17 12:21 UTC,9d 22m,Not in Transit,Container Ship,CONTAINER SHIPS
NYK THEMIS,DEPARTURE,Port,LOS ANGELES,2021-11-17 02:54 UTC,6d 3h 22m,Not in Transit,Container Ship,CONTAINER SHIPS
PACIFIC PATRIOT,DEPARTURE,Port,LOS ANGELES,2021-11-18 23:44 UTC,2h 9m,Not in Transit,Other Special Craft,OTHER MARKETS
JAMIE RENEA,DEPARTURE,Port,LOS ANGELES,2021-11-18 23:35 UTC,22m,Not in Transit,Tug,SUPPORTING VESSELS
ROYAL MELBOURNE,DEPARTURE,Port,LOS ANGELES,2021-11-18 23:08 UTC,2h 2m,Not in Transit,Other Special Craft,OTHER MARKETS
ANGELS NAVIGATOR,DEPARTURE,Port,LOS ANGELES,2021-11-18 23:04 UTC,1h 7m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
DELTA TERESA,DEPARTURE,Port,LOS ANGELES,2021-11-18 23:00 UTC,4h 19m,Not in Transit,Other Special Craft,OTHER MARKETS
LA MLETC BOAT 9,DEPARTURE,Port,LOS ANGELES,2021-11-18 21:46 UTC,10m,In Transit,Other Special Craft,OTHER MARKETS
NICHOLAS L,DEPARTURE,Port,LOS ANGELES,2021-11-18 20:51 UTC,46m,Not in Transit,Other Special Craft,OTHER MARKETS
PILOT BOAT ORION,DEPARTURE,Port,LOS ANGELES,2021-11-18 19:53 UTC,41m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
BAYWATCH18,DEPARTURE,Port,LOS ANGELES,2021-11-18 19:08 UTC,55m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
RICH PADDEN,DEPARTURE,Port,LOS ANGELES,2021-11-18 16:37 UTC,1h 59m,Not in Transit,Other Special Craft,OTHER MARKETS
NICHOLAS L,DEPARTURE,Port,LOS ANGELES,2021-11-18 16:05 UTC,52m,Not in Transit,Other Special Craft,OTHER MARKETS
PILOT BOAT ALTAIR,DEPARTURE,Port,LOS ANGELES,2021-11-18 15:35 UTC,41m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
RICH PADDEN,DEPARTURE,Port,LOS ANGELES,2021-11-18 14:35 UTC,2h 47m,Not in Transit,Other Special Craft,OTHER MARKETS
ANGELS NAVIGATOR,DEPARTURE,Port,LOS ANGELES,2021-11-18 14:10 UTC,40m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
MADELINE B HAMILTON,DEPARTURE,Port,LOS ANGELES,2021-11-18 13:36 UTC,4h 10m,Not in Transit,Other Special Craft,OTHER MARKETS
JAMIE RENEA,DEPARTURE,Port,LOS ANGELES,2021-11-18 08:16 UTC,1h 25m,Not in Transit,Tug,SUPPORTING VESSELS
BARBARA J MULHOLLAND,DEPARTURE,Port,LOS ANGELES,2021-11-18 07:50 UTC,1h 10m,Not in Transit,Tug,SUPPORTING VESSELS
MADELINE B HAMILTON,DEPARTURE,Port,LOS ANGELES,2021-11-18 07:21 UTC,2h 27m,Not in Transit,Other Special Craft,OTHER MARKETS
PILOTBOAT WHITE,DEPARTURE,Port,LOS ANGELES,2021-11-18 06:11 UTC,3h 2m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
RICH PADDEN,DEPARTURE,Port,LOS ANGELES,2021-11-18 06:10 UTC,2h 5m,Not in Transit,Other Special Craft,OTHER MARKETS
PATRICK,DEPARTURE,Port,LOS ANGELES,2021-11-18 05:56 UTC,2h 59m,Not in Transit,Supply Vessel,SUPPORTING VESSELS
ROYAL MELBOURNE,DEPARTURE,Port,LOS ANGELES,2021-11-18 05:42 UTC,1h 8m,Not in Transit,Other Special Craft,OTHER MARKETS
DELTA TERESA,DEPARTURE,Port,LOS ANGELES,2021-11-18 05:29 UTC,4h 42m,Not in Transit,Other Special Craft,OTHER MARKETS
MILLENNIUM FALCON,DEPARTURE,Port,LOS ANGELES,2021-11-18 05:21 UTC,2h 34m,Not in Transit,Tug,SUPPORTING VESSELS
MILLENNIUM MAVERICK,DEPARTURE,Port,LOS ANGELES,2021-11-18 03:44 UTC,1h 20m,Not in Transit,Tug,SUPPORTING VESSELS
JAMIE RENEA,DEPARTURE,Port,LOS ANGELES,2021-11-18 03:15 UTC,2h 41m,Not in Transit,Tug,SUPPORTING VESSELS
BARBARA J MULHOLLAND,DEPARTURE,Port,LOS ANGELES,2021-11-18 03:10 UTC,1h 44m,Not in Transit,Tug,SUPPORTING VESSELS
PILOTBOAT WHITE,DEPARTURE,Port,LOS ANGELES,2021-11-18 03:05 UTC,1h 17m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
ROYAL MELBOURNE,DEPARTURE,Port,LOS ANGELES,2021-11-18 02:40 UTC,3h 22m,Not in Transit,Other Special Craft,OTHER MARKETS
VICKI ANN,DEPARTURE,Port,LOS ANGELES,2021-11-18 02:38 UTC,1h 53m,Not in Transit,Other Special Craft,OTHER MARKETS
MASTER,DEPARTURE,Port,LOS ANGELES,2021-11-18 02:01 UTC,4h 7m,Not in Transit,Tug,SUPPORTING VESSELS
PILOTBOAT WHITE,DEPARTURE,Port,LOS ANGELES,2021-11-18 01:42 UTC,4h 3m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
CHRISTY S,DEPARTURE,Port,LOS ANGELES,2021-11-18 01:41 UTC,48m,Not in Transit,Other Passenger,PASSENGER SHIPS
MILLENNIUM FALCON,DEPARTURE,Port,LOS ANGELES,2021-11-18 01:13 UTC,1h 24m,Not in Transit,Tug,SUPPORTING VESSELS
V.A.POINT VICENTE,DEPARTURE,Port,LOS ANGELES,2021-11-18 00:49 UTC,3h ,Not in Transit,Other Special Craft,OTHER MARKETS
NICHOLAS L,DEPARTURE,Port,LOS ANGELES,2021-11-18 00:46 UTC,2h 4m,Not in Transit,Other Special Craft,OTHER MARKETS
BO BRUSCO,DEPARTURE,Port,LOS ANGELES,2021-11-18 00:20 UTC,2h 14m,Not in Transit,Other Special Craft,OTHER MARKETS
RICH PADDEN,DEPARTURE,Port,LOS ANGELES,2021-11-18 00:15 UTC,2h 8m,Not in Transit,Other Special Craft,OTHER MARKETS
ADMIRAL,DEPARTURE,Port,LOS ANGELES,2021-11-18 23:58 UTC,8h 51m,Not in Transit,Tug,SUPPORTING VESSELS
HERCULES,DEPARTURE,Port,LOS ANGELES,2021-11-18 23:48 UTC,10h 8m,Not in Transit,Other Special Craft,OTHER MARKETS
DELTA AUDREY,DEPARTURE,Port,LOS ANGELES,2021-11-18 23:01 UTC,8h 33m,Not in Transit,Tug,SUPPORTING VESSELS
V.A.POINT VICENTE,DEPARTURE,Port,LOS ANGELES,2021-11-18 22:29 UTC,6h 2m,Not in Transit,Other Special Craft,OTHER MARKETS
ANGELS NAVIGATOR,DEPARTURE,Port,LOS ANGELES,2021-11-18 21:36 UTC,7h 9m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
MADELINE B HAMILTON,DEPARTURE,Port,LOS ANGELES,2021-11-18 21:06 UTC,5h 17m,Not in Transit,Other Special Craft,OTHER MARKETS
ROYAL MELBOURNE,DEPARTURE,Port,LOS ANGELES,2021-11-18 19:44 UTC,6h 29m,Not in Transit,Other Special Craft,OTHER MARKETS
BO BRUSCO,DEPARTURE,Port,LOS ANGELES,2021-11-18 19:18 UTC,7h 50m,Not in Transit,Other Special Craft,OTHER MARKETS
CRIMSON NAVY,DEPARTURE,Port,LOS ANGELES,2021-11-18 17:54 UTC,11h 59m,Not in Transit,Other Special Craft,OTHER MARKETS
MILLENNIUM FALCON,DEPARTURE,Port,LOS ANGELES,2021-11-18 16:35 UTC,7h 17m,Not in Transit,Tug,SUPPORTING VESSELS
V.A.POINT VICENTE,DEPARTURE,Port,LOS ANGELES,2021-11-18 14:48 UTC,11h 34m,Not in Transit,Other Special Craft,OTHER MARKETS
NICHOLAS L,DEPARTURE,Port,LOS ANGELES,2021-11-18 13:12 UTC,10h 46m,Not in Transit,Other Special Craft,OTHER MARKETS
DR HANK KAPLAN,DEPARTURE,Port,LOS ANGELES,2021-11-18 13:04 UTC,6h 35m,Not in Transit,Tug,SUPPORTING VESSELS
ADMIRAL,DEPARTURE,Port,LOS ANGELES,2021-11-18 12:13 UTC,5h 38m,Not in Transit,Tug,SUPPORTING VESSELS
MASTER,DEPARTURE,Port,LOS ANGELES,2021-11-18 11:55 UTC,6h 38m,Not in Transit,Tug,SUPPORTING VESSELS
JOHN QUIGG,DEPARTURE,Port,LOS ANGELES,2021-11-18 08:19 UTC,5h 54m,Not in Transit,Tug,SUPPORTING VESSELS
DR HANK KAPLAN,DEPARTURE,Port,LOS ANGELES,2021-11-18 03:43 UTC,12h 20m,Not in Transit,Tug,SUPPORTING VESSELS
BROOKS M HAMILTON,DEPARTURE,Port,LOS ANGELES,2021-11-18 03:42 UTC,5h 38m,Not in Transit,Other Special Craft,OTHER MARKETS
NAJADE,DEPARTURE,Port,LOS ANGELES,2021-11-18 03:05 UTC,13h 55m,Not in Transit,Container Ship,CONTAINER SHIPS
GLADYS S,DEPARTURE,Port,LOS ANGELES,2021-11-18 22:57 UTC,1d 42m,Not in Transit,Other Passenger,PASSENGER SHIPS
LAGUNA,DEPARTURE,Port,LOS ANGELES,2021-11-18 22:36 UTC,17h 52m,Not in Transit,Other Special Craft,OTHER MARKETS
ELSA,DEPARTURE,Port,LOS ANGELES,2021-11-18 22:14 UTC,1d 15h 59m,Not in Transit,Other Special Craft,OTHER MARKETS
BLUE DRAGON II,DEPARTURE,Port,LOS ANGELES,2021-11-18 21:51 UTC,1d 22h 42m,Not in Transit,Fishing Vessel,FISHING
BROOKS M HAMILTON,DEPARTURE,Port,LOS ANGELES,2021-11-18 21:26 UTC,16h 7m,Not in Transit,Other Special Craft,OTHER MARKETS
FIREBOAT 3,DEPARTURE,Port,LOS ANGELES,2021-11-18 20:57 UTC,21h 42m,Not in Transit,Unspecified,OTHER MARKETS
LEADER,DEPARTURE,Port,LOS ANGELES,2021-11-18 20:49 UTC,22h 55m,Not in Transit,Tug,SUPPORTING VESSELS
NAVIG8 ACHROITE,DEPARTURE,Port,LOS ANGELES,2021-11-18 20:49 UTC,22h 55m,Not in Transit,Oil/Chemical Tanker,WET BULK
SERENDIPITER,DEPARTURE,Port,LOS ANGELES,2021-11-18 17:38 UTC,19h 29m,Not in Transit,Other Pleasure Craft,PLEASURE CRAFT
MISS CHRISTI,DEPARTURE,Port,LOS ANGELES,2021-11-18 16:22 UTC,16h 37m,Not in Transit,Other Special Craft,OTHER MARKETS
NYK REMUS,DEPARTURE,Port,LOS ANGELES,2021-11-18 12:58 UTC,1d 13h 19m,Not in Transit,Container Ship,CONTAINER SHIPS
AS SERENA,DEPARTURE,Port,LOS ANGELES,2021-11-18 12:45 UTC,21h 50m,Not in Transit,Container Ship,CONTAINER SHIPS
ANGELS NAVIGATOR,DEPARTURE,Port,LOS ANGELES,2021-11-18 12:44 UTC,1d 16h 51m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
DELTA AUDREY,DEPARTURE,Port,LOS ANGELES,2021-11-18 12:27 UTC,14h 7m,Not in Transit,Tug,SUPPORTING VESSELS
MAKO,DEPARTURE,Port,LOS ANGELES,2021-11-18 03:29 UTC,15h 42m,Not in Transit,Other Special Craft,OTHER MARKETS
GERONIMO,DEPARTURE,Port,LOS ANGELES,2021-11-18 02:47 UTC,1d 13h 39m,Not in Transit,Tug,SUPPORTING VESSELS
NAVIGATOR OF THE SEAS,DEPARTURE,Port,LOS ANGELES,2021-11-18 01:37 UTC,1d 10h 53m,Not in Transit,Passenger Vessel,PASSENGER SHIPS
FREEDOM,DEPARTURE,Port,LOS ANGELES,2021-11-18 00:32 UTC,1d 20h 14m,Not in Transit,Other Fishing,FISHING
CATALINA PROVIDER,DEPARTURE,Port,LOS ANGELES,2021-11-18 00:20 UTC,17h 9m,Not in Transit,Other Cargo,DRY BREAKBULK
LAGUNA,DEPARTURE,Port,LOS ANGELES,2021-11-18 00:15 UTC,16h 15m,Not in Transit,Other Special Craft,OTHER MARKETS
FEISTY ONE,DEPARTURE,Port,LOS ANGELES,2021-11-18 23:53 UTC,7d 18m,Not in Transit,Other Pleasure Craft,PLEASURE CRAFT
LA MLETC BOAT 9,DEPARTURE,Port,LOS ANGELES,2021-11-18 21:00 UTC,21d 17h 37m,Not in Transit,Other Special Craft,OTHER MARKETS
HERE WE GO,DEPARTURE,Port,LOS ANGELES,2021-11-18 20:09 UTC,24d 19h 34m,Not in Transit,Other Pleasure Craft,PLEASURE CRAFT
SEA SHIFTER,DEPARTURE,Port,LOS ANGELES,2021-11-18 19:56 UTC,39d 2h 23m,Not in Transit,Other Pleasure Craft,PLEASURE CRAFT
COSMO,DEPARTURE,Port,LOS ANGELES,2021-11-18 19:40 UTC,4d 19h 47m,Not in Transit,Sailing Vessel,PLEASURE CRAFT
DIVE BOAT 1,DEPARTURE,Port,LOS ANGELES,2021-11-18 19:27 UTC,7d 23h 49m,Not in Transit,Other Special Craft,OTHER MARKETS
EXY JOHNSON,DEPARTURE,Port,LOS ANGELES,2021-11-18 19:26 UTC,11d 22h 45m,Not in Transit,Sailing Vessel,PLEASURE CRAFT
IRVING JOHNSON,DEPARTURE,Port,LOS ANGELES,2021-11-18 19:25 UTC,6d 18h 21m,Not in Transit,Sailing Vessel,PLEASURE CRAFT
LAPPD BOAT 39,DEPARTURE,Port,LOS ANGELES,2021-11-18 17:39 UTC,4d 16h 51m,Not in Transit,Other Special Craft,OTHER MARKETS
EVER LEADER,DEPARTURE,Port,LOS ANGELES,2021-11-18 13:24 UTC,7d 12m,Not in Transit,Container Ship,CONTAINER SHIPS
HERCULES,DEPARTURE,Port,LOS ANGELES,2021-11-18 13:01 UTC,2d 22h 29m,Not in Transit,Other Special Craft,OTHER MARKETS
CMA CGM MISSISSIPPI,DEPARTURE,Port,LOS ANGELES,2021-11-18 03:23 UTC,6d 13h 55m,Not in Transit,Container Ship,CONTAINER SHIPS
UNDERCOVER,DEPARTURE,Port,LOS ANGELES,2021-11-18 01:29 UTC,25d 3h 15m,Not in Transit,Other Pleasure Craft,PLEASURE CRAFT
SUPER EXPRESS,DEPARTURE,Port,LOS ANGELES,2021-11-19 23:23 UTC,2h 22m,Not in Transit,High Speed Craft,PASSENGER SHIPS
CATALINA EXPRESS,DEPARTURE,Port,LOS ANGELES,2021-11-19 22:36 UTC,1h 59m,Not in Transit,Passenger Vessel,PASSENGER SHIPS
MAKO,DEPARTURE,Port,LOS ANGELES,2021-11-19 19:46 UTC,1h 6m,Not in Transit,Other Special Craft,OTHER MARKETS
PATRICK,DEPARTURE,Port,LOS ANGELES,2021-11-19 19:08 UTC,3h 51m,Not in Transit,Supply Vessel,SUPPORTING VESSELS
BROOKS M HAMILTON,DEPARTURE,Port,LOS ANGELES,2021-11-19 19:04 UTC,2h 38m,Not in Transit,Other Special Craft,OTHER MARKETS
DIVE BOAT 1,DEPARTURE,Port,LOS ANGELES,2021-11-19 18:55 UTC,1h 22m,Not in Transit,Other Special Craft,OTHER MARKETS
MILLENNIUM FALCON,DEPARTURE,Port,LOS ANGELES,2021-11-19 18:15 UTC,4h 58m,Not in Transit,Tug,SUPPORTING VESSELS
V.A.POINT VICENTE,DEPARTURE,Port,LOS ANGELES,2021-11-19 18:11 UTC,32m,Not in Transit,Other Special Craft,OTHER MARKETS
RICH PADDEN,DEPARTURE,Port,LOS ANGELES,2021-11-19 16:41 UTC,2h 1m,Not in Transit,Other Special Craft,OTHER MARKETS
PETER MAC,DEPARTURE,Port,LOS ANGELES,2021-11-19 16:38 UTC,1h 2m,Not in Transit,Crew Boat,SUPPORTING VESSELS
JAMIE ANN,DEPARTURE,Port,LOS ANGELES,2021-11-19 16:27 UTC,1h 54m,Not in Transit,Other Special Craft,OTHER MARKETS
BO BRUSCO,DEPARTURE,Port,LOS ANGELES,2021-11-19 16:27 UTC,4h 46m,Not in Transit,Other Special Craft,OTHER MARKETS
MILLENNIUM MAVERICK,DEPARTURE,Port,LOS ANGELES,2021-11-19 16:15 UTC,3h 44m,Not in Transit,Tug,SUPPORTING VESSELS
ROYAL MELBOURNE,DEPARTURE,Port,LOS ANGELES,2021-11-19 16:14 UTC,4h 24m,Not in Transit,Other Special Craft,OTHER MARKETS
NICHOLAS L,DEPARTURE,Port,LOS ANGELES,2021-11-19 16:14 UTC,1h 9m,Not in Transit,Other Special Craft,OTHER MARKETS
JAMIE RENEA,DEPARTURE,Port,LOS ANGELES,2021-11-19 16:07 UTC,1h 16m,Not in Transit,Tug,SUPPORTING VESSELS
JOHN QUIGG,DEPARTURE,Port,LOS ANGELES,2021-11-19 14:57 UTC,2h 19m,Not in Transit,Tug,SUPPORTING VESSELS
JAMIE RENEA,DEPARTURE,Port,LOS ANGELES,2021-11-19 14:41 UTC,2h 18m,Not in Transit,Tug,SUPPORTING VESSELS
BARBARA J MULHOLLAND,DEPARTURE,Port,LOS ANGELES,2021-11-19 14:37 UTC,1h 15m,Not in Transit,Tug,SUPPORTING VESSELS
RICH PADDEN,DEPARTURE,Port,LOS ANGELES,2021-11-19 14:31 UTC,2h 45m,Not in Transit,Other Special Craft,OTHER MARKETS
PILOT BOAT BANNING,DEPARTURE,Port,LOS ANGELES,2021-11-19 14:02 UTC,19m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
BROOKS M HAMILTON,DEPARTURE,Port,LOS ANGELES,2021-11-19 13:50 UTC,51m,Not in Transit,Other Special Craft,OTHER MARKETS
JAMIE ANN,DEPARTURE,Port,LOS ANGELES,2021-11-19 13:14 UTC,1h 28m,Not in Transit,Other Special Craft,OTHER MARKETS
BARBARA J MULHOLLAND,DEPARTURE,Port,LOS ANGELES,2021-11-19 13:13 UTC,38m,Not in Transit,Tug,SUPPORTING VESSELS
PILOT BOAT BANNING,DEPARTURE,Port,LOS ANGELES,2021-11-19 13:11 UTC,7m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
ROBYN J,DEPARTURE,Port,LOS ANGELES,2021-11-19 12:21 UTC,1h 53m,Not in Transit,Other Special Craft,OTHER MARKETS
BROOKS M HAMILTON,DEPARTURE,Port,LOS ANGELES,2021-11-19 12:17 UTC,2h 19m,Not in Transit,Other Special Craft,OTHER MARKETS
GERONIMO,DEPARTURE,Port,LOS ANGELES,2021-11-19 07:22 UTC,2h 23m,Not in Transit,Tug,SUPPORTING VESSELS
PONO,DEPARTURE,Port,LOS ANGELES,2021-11-19 06:59 UTC,1h 33m,Not in Transit,Other Special Craft,OTHER MARKETS
JAMIE RENEA,DEPARTURE,Port,LOS ANGELES,2021-11-19 05:58 UTC,2h 16m,Not in Transit,Tug,SUPPORTING VESSELS
JOHN QUIGG,DEPARTURE,Port,LOS ANGELES,2021-11-19 05:54 UTC,4h 23m,Not in Transit,Tug,SUPPORTING VESSELS
BARBARA J MULHOLLAND,DEPARTURE,Port,LOS ANGELES,2021-11-19 05:44 UTC,1h 31m,Not in Transit,Tug,SUPPORTING VESSELS
MILLENNIUM MAVERICK,DEPARTURE,Port,LOS ANGELES,2021-11-19 04:18 UTC,47m,Not in Transit,Tug,SUPPORTING VESSELS
BARBARA J MULHOLLAND,DEPARTURE,Port,LOS ANGELES,2021-11-19 04:01 UTC,2h 31m,Not in Transit,Tug,SUPPORTING VESSELS
MILLENNIUM FALCON,DEPARTURE,Port,LOS ANGELES,2021-11-19 03:48 UTC,4h 17m,Not in Transit,Tug,SUPPORTING VESSELS
PILOT BOAT BANNING,DEPARTURE,Port,LOS ANGELES,2021-11-19 03:38 UTC,49m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
GLADYS S,DEPARTURE,Port,LOS ANGELES,2021-11-19 03:21 UTC,1h 18m,Not in Transit,Other Passenger,PASSENGER SHIPS
LA ESPADA,DEPARTURE,Port,LOS ANGELES,2021-11-19 02:13 UTC,45m,Not in Transit,Other Passenger,PASSENGER SHIPS
ELIZABETH C,DEPARTURE,Port,LOS ANGELES,2021-11-19 01:39 UTC,1h 22m,Not in Transit,Tug,SUPPORTING VESSELS
JAMIE RENEA,DEPARTURE,Port,LOS ANGELES,2021-11-19 00:56 UTC,1h 43m,Not in Transit,Tug,SUPPORTING VESSELS
JOHN QUIGG,DEPARTURE,Port,LOS ANGELES,2021-11-19 00:54 UTC,1h 40m,Not in Transit,Tug,SUPPORTING VESSELS
NICHOLAS L,DEPARTURE,Port,LOS ANGELES,2021-11-19 00:48 UTC,2h 8m,Not in Transit,Other Special Craft,OTHER MARKETS
LA ESPADA,DEPARTURE,Port,LOS ANGELES,2021-11-19 00:11 UTC,2h 42m,Not in Transit,Other Passenger,PASSENGER SHIPS
NICHOLAS L,DEPARTURE,Port,LOS ANGELES,2021-11-19 13:14 UTC,10h 52m,Not in Transit,Other Special Craft,OTHER MARKETS
CATALINA PROVIDER,DEPARTURE,Port,LOS ANGELES,2021-11-19 12:46 UTC,5h 21m,Not in Transit,Other Cargo,DRY BREAKBULK
ADMIRAL,DEPARTURE,Port,LOS ANGELES,2021-11-19 12:26 UTC,8h 38m,Not in Transit,Tug,SUPPORTING VESSELS
PILOT BOAT BANNING,DEPARTURE,Port,LOS ANGELES,2021-11-19 12:18 UTC,8h 21m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
MILLENNIUM FALCON,DEPARTURE,Port,LOS ANGELES,2021-11-19 09:53 UTC,5h 6m,Not in Transit,Tug,SUPPORTING VESSELS
BROOKS M HAMILTON,DEPARTURE,Port,LOS ANGELES,2021-11-19 08:55 UTC,10h 53m,Not in Transit,Other Special Craft,OTHER MARKETS
ROYAL MELBOURNE,DEPARTURE,Port,LOS ANGELES,2021-11-19 05:24 UTC,5h 5m,Not in Transit,Other Special Craft,OTHER MARKETS
LAPPD BOAT 39,DEPARTURE,Port,LOS ANGELES,2021-11-19 01:33 UTC,7h 42m,Not in Transit,Other Special Craft,OTHER MARKETS
JEFFREY M,DEPARTURE,Port,LOS ANGELES,2021-11-19 21:21 UTC,1d 19h 33m,Not in Transit,Other Special Craft,OTHER MARKETS
SERENDIPITER,DEPARTURE,Port,LOS ANGELES,2021-11-19 20:50 UTC,1d 2h 45m,Not in Transit,Other Pleasure Craft,PLEASURE CRAFT
IRVING JOHNSON,DEPARTURE,Port,LOS ANGELES,2021-11-19 19:25 UTC,23h 24m,Not in Transit,Sailing Vessel,PLEASURE CRAFT
MAKO,DEPARTURE,Port,LOS ANGELES,2021-11-19 18:15 UTC,14h 38m,Not in Transit,Other Special Craft,OTHER MARKETS
LAGUNA,DEPARTURE,Port,LOS ANGELES,2021-11-19 18:10 UTC,14h 30m,Not in Transit,Other Special Craft,OTHER MARKETS
SUPER EXPRESS,DEPARTURE,Port,LOS ANGELES,2021-11-19 17:52 UTC,1d 20h 5m,Not in Transit,High Speed Craft,PASSENGER SHIPS
DIVE BOAT 1,DEPARTURE,Port,LOS ANGELES,2021-11-19 17:29 UTC,21h 56m,Not in Transit,Other Special Craft,OTHER MARKETS
V.A.POINT VICENTE,DEPARTURE,Port,LOS ANGELES,2021-11-19 17:18 UTC,17h 24m,Not in Transit,Other Special Craft,OTHER MARKETS
CATALINA EXPRESS,DEPARTURE,Port,LOS ANGELES,2021-11-19 17:10 UTC,1d 14h 18m,Not in Transit,Passenger Vessel,PASSENGER SHIPS
GIANNA BETH,DEPARTURE,Port,LOS ANGELES,2021-11-19 17:07 UTC,1d 11h 45m,Not in Transit,Other Fishing,FISHING
MISS CHRISTI,DEPARTURE,Port,LOS ANGELES,2021-11-19 16:21 UTC,17h 6m,Not in Transit,Other Special Craft,OTHER MARKETS
KENNETH CARL,DEPARTURE,Port,LOS ANGELES,2021-11-19 15:42 UTC,1d 17h 29m,Not in Transit,Pollution Control Vessel,SUPPORTING VESSELS
ALS VENUS,DEPARTURE,Port,LOS ANGELES,2021-11-19 14:21 UTC,2d 1h 5m,Not in Transit,Container Ship,CONTAINER SHIPS
PETER MAC,DEPARTURE,Port,LOS ANGELES,2021-11-19 13:19 UTC,1d 13h 45m,Not in Transit,Crew Boat,SUPPORTING VESSELS
LEADER,DEPARTURE,Port,LOS ANGELES,2021-11-19 12:54 UTC,15h 47m,Not in Transit,Tug,SUPPORTING VESSELS
MASTER,DEPARTURE,Port,LOS ANGELES,2021-11-19 12:48 UTC,21h 54m,Not in Transit,Tug,SUPPORTING VESSELS
DR HANK KAPLAN,DEPARTURE,Port,LOS ANGELES,2021-11-19 07:58 UTC,18h 52m,Not in Transit,Tug,SUPPORTING VESSELS
MAKO,DEPARTURE,Port,LOS ANGELES,2021-11-19 03:16 UTC,23h 8m,Not in Transit,Other Special Craft,OTHER MARKETS
CATALINA PROVIDER,DEPARTURE,Port,LOS ANGELES,2021-11-19 00:23 UTC,17h 17m,Not in Transit,Other Cargo,DRY BREAKBULK
LAPPD BOAT 42,DEPARTURE,Port,LOS ANGELES,2021-11-19 00:15 UTC,1d 1h 11m,Not in Transit,Other Special Craft,OTHER MARKETS
RIGEL,DEPARTURE,Port,LOS ANGELES,2021-11-19 19:36 UTC,6d 19h 45m,Not in Transit,Sailing Vessel,PLEASURE CRAFT
MAURETANIA,DEPARTURE,Port,LOS ANGELES,2021-11-19 18:43 UTC,39d 1h 8m,Not in Transit,Other Passenger,PASSENGER SHIPS
CG ROBERT WARD,DEPARTURE,Port,LOS ANGELES,2021-11-19 17:23 UTC,8d 17h 47m,Not in Transit,Search & Rescue,SUPPORTING VESSELS
PERFECT MATCH,DEPARTURE,Port,LOS ANGELES,2021-11-19 17:08 UTC,23d 19h 41m,Not in Transit,Sailing Vessel,PLEASURE CRAFT
CHRISTOPHER,DEPARTURE,Port,LOS ANGELES,2021-11-19 17:03 UTC,4d 16h 1m,Not in Transit,Other Passenger,PASSENGER SHIPS
ONA WHIM,DEPARTURE,Port,LOS ANGELES,2021-11-19 16:17 UTC,39d 23h 12m,Not in Transit,Other Pleasure Craft,PLEASURE CRAFT
SOLACE,DEPARTURE,Port,LOS ANGELES,2021-11-19 16:00 UTC,11d 18h 53m,Not in Transit,Other Pleasure Craft,PLEASURE CRAFT
PRESIDENT WILSON,DEPARTURE,Port,LOS ANGELES,2021-11-19 14:31 UTC,3d 1h 37m,Not in Transit,Container Ship,CONTAINER SHIPS
MSC DANIT,DEPARTURE,Port,LOS ANGELES,2021-11-19 13:11 UTC,10d 21h 18m,Not in Transit,Container Ship,CONTAINER SHIPS
DONZ RIG,DEPARTURE,Port,LOS ANGELES,2021-11-19 04:41 UTC,15d 7h 46m,Not in Transit,Other Fishing,FISHING
PILOT BOAT BANNING,DEPARTURE,Port,LOS ANGELES,2021-11-19 02:44 UTC,17d 12h 39m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
CMA CGM THALASSA,DEPARTURE,Port,LOS ANGELES,2021-11-19 02:42 UTC,7d 12h 19m,Not in Transit,Container Ship,CONTAINER SHIPS
CHRISTOPHER,DEPARTURE,Port,LOS ANGELES,2021-11-20 23:33 UTC,50m,Not in Transit,Other Passenger,PASSENGER SHIPS
CAT EXPRESS,DEPARTURE,Port,LOS ANGELES,2021-11-20 23:17 UTC,2h 35m,Not in Transit,Other Passenger,PASSENGER SHIPS
TRIUMPHANT,DEPARTURE,Port,LOS ANGELES,2021-11-20 22:17 UTC,1h ,Not in Transit,Other Passenger,PASSENGER SHIPS
MONTE CARLO,DEPARTURE,Port,LOS ANGELES,2021-11-20 21:06 UTC,54m,Not in Transit,Other Fishing,FISHING
