Vessel Name,Port Call Type,Port Type,Port At Call,Ata/atd11,Time At Port,In Transit Port Calls,Vessel Type - Detailed,Commercial Market
HAIGANG18,DEPARTURE,Port,SHANGHAI,2021-11-24 10:00 UTC,1h 27m,Not in Transit,Other Special Craft,OTHER MARKETS
HENGLI168,DEPARTURE,Port,SHANGHAI,2021-11-24 09:42 UTC,1h 38m,In Transit,Other Cargo,DRY BREAKBULK
HAIGANG20,DEPARTURE,Port,SHANGHAI,2021-11-24 09:40 UTC,1h 21m,Not in Transit,Other Special Craft,OTHER MARKETS
JIU HE 7,DEPARTURE,Port,SHANGHAI,2021-11-24 09:40 UTC,1h 41m,In Transit,Dredger,OTHER MARKETS
XIN HONG XIANG 7,DEPARTURE,Port,SHANGHAI,2021-11-24 09:25 UTC,1h 18m,In Transit,Other Cargo,DRY BREAKBULK
FEI YI 11,DEPARTURE,Port,SHANGHAI,2021-11-24 08:59 UTC,1h 14m,Not in Transit,High Speed Craft,PASSENGER SHIPS
FEI YI 15,DEPARTURE,Port,SHANGHAI,2021-11-24 08:53 UTC,1h 14m,Not in Transit,High Speed Craft,PASSENGER SHIPS
HUA HAO YUN HAI,DEPARTURE,Port,SHANGHAI,2021-11-24 08:41 UTC,1h 29m,Not in Transit,Other Cargo,DRY BREAKBULK
XIN JIA YUAN 217,DEPARTURE,Port,SHANGHAI,2021-11-24 08:37 UTC,1h 21m,In Transit,Other Cargo,DRY BREAKBULK
HU GANG YIN JIAO 16,DEPARTURE,Port,SHANGHAI,2021-11-24 08:29 UTC,1h 1m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
QIAO YUAN 1801,DEPARTURE,Port,SHANGHAI,2021-11-24 08:26 UTC,1h 17m,Not in Transit,Dredger,OTHER MARKETS
XIN YUAN HE 18,DEPARTURE,Port,SHANGHAI,2021-11-24 08:13 UTC,1h 10m,In Transit,Other Cargo,DRY BREAKBULK
YU DUO 5988,DEPARTURE,Port,SHANGHAI,2021-11-24 08:11 UTC,1h 25m,In Transit,Other Tanker,WET BULK
SI HANG 2981,DEPARTURE,Port,SHANGHAI,2021-11-24 08:04 UTC,1h 26m,In Transit,Other Cargo,DRY BREAKBULK
WANANQINGHHUO9579,DEPARTURE,Port,SHANGHAI,2021-11-24 07:52 UTC,1h 59m,In Transit,Other Cargo,DRY BREAKBULK
YING ZHOU 7,DEPARTURE,Port,SHANGHAI,2021-11-24 07:34 UTC,1h 46m,Not in Transit,High Speed Craft,PASSENGER SHIPS
ZHONGYIRUNTONG,DEPARTURE,Port,SHANGHAI,2021-11-24 07:31 UTC,1h 59m,In Transit,Other Cargo,DRY BREAKBULK
ZHOU CHI 23,DEPARTURE,Port,SHANGHAI,2021-11-24 07:30 UTC,1h 20m,In Transit,Other Cargo,DRY BREAKBULK
JIN TAI TUO 8,DEPARTURE,Port,SHANGHAI,2021-11-24 07:30 UTC,1h 40m,Not in Transit,Other Special Craft,OTHER MARKETS
XINGFA59,DEPARTURE,Port,SHANGHAI,2021-11-24 07:28 UTC,1h 31m,In Transit,Other Cargo,DRY BREAKBULK
JINSHAJI379,DEPARTURE,Port,SHANGHAI,2021-11-24 07:23 UTC,1h 23m,In Transit,Other Special Craft,OTHER MARKETS
HUAJIA8HAO,DEPARTURE,Port,SHANGHAI,2021-11-24 07:19 UTC,1h 32m,In Transit,Other Cargo,DRY BREAKBULK
YUETUO002,DEPARTURE,Port,SHANGHAI,2021-11-24 07:18 UTC,1h 28m,Not in Transit,Other Cargo,DRY BREAKBULK
FEI YI 11,DEPARTURE,Port,SHANGHAI,2021-11-24 07:17 UTC,1h 20m,Not in Transit,High Speed Craft,PASSENGER SHIPS
JIU LONG 8,DEPARTURE,Port,SHANGHAI,2021-11-24 07:13 UTC,1h 47m,In Transit,LPG Tanker,LPG CARRIERS
JIA XING 66,DEPARTURE,Port,SHANGHAI,2021-11-24 07:10 UTC,1h 44m,In Transit,Other Cargo,DRY BREAKBULK
LU JI NINGHUO 5592,DEPARTURE,Port,SHANGHAI,2021-11-24 07:09 UTC,1h 53m,In Transit,Other Cargo,DRY BREAKBULK
YING ZHOU 9,DEPARTURE,Port,SHANGHAI,2021-11-24 07:07 UTC,1h 48m,Not in Transit,High Speed Craft,PASSENGER SHIPS
FEI YI 16,DEPARTURE,Port,SHANGHAI,2021-11-24 07:05 UTC,1h 24m,Not in Transit,High Speed Craft,PASSENGER SHIPS
GANNANDEHUA032,DEPARTURE,Port,SHANGHAI,2021-11-24 06:57 UTC,1h 48m,In Transit,Other Cargo,DRY BREAKBULK
SHENG ZHOU QI HANG,DEPARTURE,Port,SHANGHAI,2021-11-24 06:54 UTC,1h 19m,In Transit,Other Cargo,DRY BREAKBULK
WANHUAINANHUO1110,DEPARTURE,Port,SHANGHAI,2021-11-24 06:53 UTC,1h 43m,In Transit,Other Cargo,DRY BREAKBULK
JIA HONG 28,DEPARTURE,Port,SHANGHAI,2021-11-24 06:45 UTC,1h 47m,In Transit,General Cargo,DRY BREAKBULK
SHUNZE5,DEPARTURE,Port,SHANGHAI,2021-11-24 06:32 UTC,1h 46m,In Transit,Other Cargo,DRY BREAKBULK
YONGSHUN5398,DEPARTURE,Port,SHANGHAI,2021-11-24 06:31 UTC,1h 36m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
HAIGANG18,DEPARTURE,Port,SHANGHAI,2021-11-24 06:31 UTC,1h 12m,Not in Transit,Other Special Craft,OTHER MARKETS
RUN ZE98,DEPARTURE,Port,SHANGHAI,2021-11-24 06:23 UTC,1h 46m,In Transit,Other Cargo,DRY BREAKBULK
HU GANG YIN JIAO 6,DEPARTURE,Port,SHANGHAI,2021-11-24 06:19 UTC,1h 51m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
HENG LI 628,DEPARTURE,Port,SHANGHAI,2021-11-24 06:07 UTC,1h 52m,In Transit,Other Cargo,DRY BREAKBULK
SUGAOHANG8988,DEPARTURE,Port,SHANGHAI,2021-11-24 06:05 UTC,1h 7m,In Transit,Other Cargo,DRY BREAKBULK
XIN KAI 16,DEPARTURE,Port,SHANGHAI,2021-11-24 06:02 UTC,1h 34m,In Transit,Other Tanker,WET BULK
XINGYANG2688,DEPARTURE,Port,SHANGHAI,2021-11-24 06:02 UTC,1h 31m,In Transit,Other Cargo,DRY BREAKBULK
ANQIANG89,DEPARTURE,Port,SHANGHAI,2021-11-24 06:01 UTC,1h 56m,In Transit,Other Cargo,DRY BREAKBULK
ZHENGTONGJI8885,DEPARTURE,Port,SHANGHAI,2021-11-24 06:01 UTC,1h 39m,In Transit,Other Cargo,DRY BREAKBULK
HAO XIANG 3,DEPARTURE,Port,SHANGHAI,2021-11-24 06:01 UTC,1h 3m,In Transit,Other Cargo,DRY BREAKBULK
ZHEJIAXINGHUO02862,DEPARTURE,Port,SHANGHAI,2021-11-24 05:56 UTC,1h 11m,Not in Transit,Other Cargo,DRY BREAKBULK
ZHEJIANDEJI001,DEPARTURE,Port,SHANGHAI,2021-11-24 05:54 UTC,1h 35m,In Transit,Other Cargo,DRY BREAKBULK
XIN JIE LI,DEPARTURE,Port,SHANGHAI,2021-11-24 05:51 UTC,1h 47m,In Transit,Dredger,OTHER MARKETS
ZHEDAIYUYUN04609,DEPARTURE,Port,SHANGHAI,2021-11-24 05:50 UTC,1h 58m,Not in Transit,Other Fishing,FISHING
SUHUAIHUO15288,DEPARTURE,Port,SHANGHAI,2021-11-24 05:43 UTC,1h 27m,In Transit,Other Cargo,DRY BREAKBULK
GAO LING 888,DEPARTURE,Port,SHANGHAI,2021-11-24 05:39 UTC,1h 7m,In Transit,Other Cargo,DRY BREAKBULK
YU QIN 02,DEPARTURE,Port,SHANGHAI,2021-11-24 05:37 UTC,1h 3m,In Transit,Other Cargo,DRY BREAKBULK
HAIANCAO999,DEPARTURE,Port,SHANGHAI,2021-11-24 05:36 UTC,1h 41m,In Transit,Other Cargo,DRY BREAKBULK
TENGYUN058,DEPARTURE,Port,SHANGHAI,2021-11-24 05:35 UTC,1h 38m,In Transit,Other Cargo,DRY BREAKBULK
SUXINGHUAIHUO7999,DEPARTURE,Port,SHANGHAI,2021-11-24 05:34 UTC,1h 23m,In Transit,Other Cargo,DRY BREAKBULK
HENG TONG TAI DA,DEPARTURE,Port,SHANGHAI,2021-11-24 05:30 UTC,1h 26m,In Transit,Other Cargo,DRY BREAKBULK
HONG HUA 89,DEPARTURE,Port,SHANGHAI,2021-11-24 05:30 UTC,1h ,In Transit,Other Cargo,DRY BREAKBULK
XIANGRUI268,DEPARTURE,Port,SHANGHAI,2021-11-24 05:29 UTC,1h 41m,In Transit,Other Cargo,DRY BREAKBULK
LONG HAO 099,DEPARTURE,Port,SHANGHAI,2021-11-24 05:29 UTC,1h 48m,In Transit,Other Cargo,DRY BREAKBULK
XIAODAJI08,DEPARTURE,Port,SHANGHAI,2021-11-24 05:27 UTC,1h 50m,In Transit,Other Cargo,DRY BREAKBULK
WANXIANGTONG66,DEPARTURE,Port,SHANGHAI,2021-11-24 05:25 UTC,1h 33m,In Transit,Other Cargo,DRY BREAKBULK
SHENG WANG1502,DEPARTURE,Port,SHANGHAI,2021-11-24 05:25 UTC,1h 58m,In Transit,Other Cargo,DRY BREAKBULK
SULIANYUNGANGHUO6001,DEPARTURE,Port,SHANGHAI,2021-11-24 05:21 UTC,1h 45m,In Transit,Other Cargo,DRY BREAKBULK
FEI YI 16,DEPARTURE,Port,SHANGHAI,2021-11-24 05:18 UTC,1h 24m,Not in Transit,High Speed Craft,PASSENGER SHIPS
WANSUZHOUHUO2809,DEPARTURE,Port,SHANGHAI,2021-11-24 05:13 UTC,1h 39m,In Transit,Other Cargo,DRY BREAKBULK
CHANGTONG188,DEPARTURE,Port,SHANGHAI,2021-11-24 05:13 UTC,1h 22m,In Transit,Other Cargo,DRY BREAKBULK
HONG RUI 298,DEPARTURE,Port,SHANGHAI,2021-11-24 05:12 UTC,1h 28m,In Transit,Other Cargo,DRY BREAKBULK
YU XIN HUO 17518,DEPARTURE,Port,SHANGHAI,2021-11-24 05:09 UTC,1h 42m,In Transit,Other Cargo,DRY BREAKBULK
YING ZHOU 9,DEPARTURE,Port,SHANGHAI,2021-11-24 05:06 UTC,1h 10m,Not in Transit,High Speed Craft,PASSENGER SHIPS
HU GANG YIN JIAO 16,DEPARTURE,Port,SHANGHAI,2021-11-24 05:04 UTC,1h 54m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
JIANGDONGHANGYUN9,DEPARTURE,Port,SHANGHAI,2021-11-24 05:01 UTC,1h 51m,In Transit,Other Cargo,DRY BREAKBULK
SUTONGYUANHUO 2088,DEPARTURE,Port,SHANGHAI,2021-11-24 05:01 UTC,1h 33m,In Transit,Other Cargo,DRY BREAKBULK
HAIGANG55,DEPARTURE,Port,SHANGHAI,2021-11-24 04:59 UTC,1h 14m,Not in Transit,Other Special Craft,OTHER MARKETS
HAI XUAN,DEPARTURE,Port,SHANGHAI,2021-11-24 04:58 UTC,1h 18m,In Transit,Other Cargo,DRY BREAKBULK
HUXIANGFA20,DEPARTURE,Port,SHANGHAI,2021-11-24 04:56 UTC,1h 32m,In Transit,Other Cargo,DRY BREAKBULK
GANTIANYIHUA0002,DEPARTURE,Port,SHANGHAI,2021-11-24 04:54 UTC,1h 24m,In Transit,Other Cargo,DRY BREAKBULK
DINGHAITUO16,DEPARTURE,Port,SHANGHAI,2021-11-24 04:54 UTC,1h ,Not in Transit,Other Special Craft,OTHER MARKETS
ZHE DAI75358,DEPARTURE,Port,SHANGHAI,2021-11-24 04:54 UTC,1h 39m,In Transit,Other Cargo,DRY BREAKBULK
FEI DA 127,DEPARTURE,Port,SHANGHAI,2021-11-24 04:52 UTC,1h 30m,In Transit,Other Cargo,DRY BREAKBULK
WAN YU XIANG 999,DEPARTURE,Port,SHANGHAI,2021-11-24 04:52 UTC,1h 27m,In Transit,Other Cargo,DRY BREAKBULK
SUNEIHANGHUO8889,DEPARTURE,Port,SHANGHAI,2021-11-24 04:51 UTC,1h 46m,In Transit,Other Cargo,DRY BREAKBULK
HAIGANG50,DEPARTURE,Port,SHANGHAI,2021-11-24 04:50 UTC,1h 3m,Not in Transit,Other Special Craft,OTHER MARKETS
WANXINDA 518,DEPARTURE,Port,SHANGHAI,2021-11-24 04:50 UTC,1h 49m,In Transit,Other Cargo,DRY BREAKBULK
WANXUANCHENGHUO7018,DEPARTURE,Port,SHANGHAI,2021-11-24 04:48 UTC,1h 39m,In Transit,Other Cargo,DRY BREAKBULK
WANBENGBUHUO2658,DEPARTURE,Port,SHANGHAI,2021-11-24 04:44 UTC,1h 48m,In Transit,Other Cargo,DRY BREAKBULK
JIAOHANG1187,DEPARTURE,Port,SHANGHAI,2021-11-24 04:44 UTC,1h 54m,In Transit,Other Cargo,DRY BREAKBULK
ZHEZHONGAN019,DEPARTURE,Port,SHANGHAI,2021-11-24 04:43 UTC,1h 12m,In Transit,Other Cargo,DRY BREAKBULK
WANJULONG6688,DEPARTURE,Port,SHANGHAI,2021-11-24 04:42 UTC,1h 47m,In Transit,Other Cargo,DRY BREAKBULK
JIAHAIHANGYUN039,DEPARTURE,Port,SHANGHAI,2021-11-24 04:41 UTC,1h 56m,In Transit,Other Cargo,DRY BREAKBULK
SUYANCHENGHUO261598,DEPARTURE,Port,SHANGHAI,2021-11-24 04:40 UTC,1h 45m,In Transit,Other Cargo,DRY BREAKBULK
ZHONG CHENG 16,DEPARTURE,Port,SHANGHAI,2021-11-24 04:40 UTC,1h 42m,In Transit,Other Cargo,DRY BREAKBULK
